Date,Open,High,Low,Close,Adj Close,Volume
2023-09-11,33.470001,33.689999,33.330002,33.369999,32.126171,30276200
2023-09-12,33.549999,33.779999,33.490002,33.529999,32.280205,31963000
2023-09-13,33.650002,33.700001,33.029999,33.029999,31.798843,47685700
2023-09-14,33.099998,34.000000,33.099998,33.869999,32.607533,46502100
2023-09-15,33.869999,33.990002,33.610001,33.889999,32.626789,54801500
2023-09-18,34.000000,34.709999,33.849998,34.130001,32.857841,52363400
2023-09-19,34.209999,34.619999,34.070000,34.209999,32.934860,43247200
2023-09-20,34.150002,34.610001,34.009998,34.290001,33.011879,39102300
2023-09-21,34.000000,34.290001,33.630001,33.759998,32.501633,60109400
2023-09-22,34.020000,34.189999,33.810001,34.029999,32.761570,31020500
2023-09-25,33.950001,34.330002,33.930000,34.250000,32.973370,26767200
2023-09-26,34.000000,34.090000,33.459999,33.459999,32.212814,60687500
2023-09-27,33.860001,34.520000,33.779999,34.520000,33.233307,53708700
2023-09-28,34.450001,34.540001,34.209999,34.450001,33.165916,30765000
2023-09-29,34.500000,34.689999,34.250000,34.639999,33.348831,40227600
2023-10-02,34.549999,34.770000,33.930000,34.119999,32.848213,34403400
2023-10-03,33.970001,34.230000,33.630001,33.970001,32.703808,37947300
2023-10-04,33.599998,33.709999,32.389999,32.619999,31.404125,88895900
2023-10-05,32.509998,32.939999,32.290001,32.730000,31.510025,35342000
2023-10-06,32.599998,33.820000,32.330002,33.509998,32.260952,48132800
2023-10-09,34.150002,35.080002,34.099998,34.950001,33.647278,77528400
2023-10-10,34.900002,35.340000,34.740002,35.209999,33.897587,48326500
2023-10-11,35.139999,35.250000,34.490002,35.119999,33.810940,41578500
2023-10-13,35.790001,36.360001,35.779999,36.279999,34.927704,66943700
2023-10-16,36.400002,36.799999,35.959999,36.680000,35.312794,49626600
2023-10-17,36.700001,37.669998,36.630001,37.669998,36.265892,68814800
2023-10-18,37.990002,38.610001,37.910000,38.520000,37.084209,85931700
2023-10-19,38.360001,38.470001,37.919998,38.340000,36.910919,56016600
2023-10-20,38.689999,38.860001,37.389999,37.849998,36.439182,66242400
2023-10-23,36.590000,36.799999,35.259998,35.349998,34.032368,104499100
2023-10-24,35.650002,36.189999,35.169998,35.880001,34.542614,78634900
2023-10-25,36.080002,36.279999,35.750000,36.070000,34.725533,32846500
2023-10-26,35.849998,35.930000,35.150002,35.700001,34.369324,47858600
2023-10-27,36.209999,36.459999,35.169998,35.439999,34.119011,45843100
2023-10-30,35.580002,35.720001,34.860001,35.080002,33.772434,31346900
2023-10-31,35.009998,35.180000,34.490002,34.740002,33.445107,36965200
2023-11-01,35.020000,35.540001,34.900002,35.119999,33.810940,46335300
2023-11-03,35.790001,35.889999,35.049999,35.540001,34.215286,30959700
2023-11-06,35.740002,36.130001,35.509998,35.509998,34.186401,33583600
2023-11-07,35.070000,35.419998,34.660000,34.919998,33.618393,48919900
2023-11-08,34.599998,34.799999,33.910000,34.169998,32.896351,59742900
2023-11-09,34.500000,35.150002,34.360001,34.880001,33.579887,56231100
2023-11-10,34.660000,35.060001,34.509998,34.720001,33.425854,40004800
2023-11-13,34.680000,35.750000,34.669998,35.689999,34.359695,44120000
2023-11-14,35.689999,36.240002,35.490002,36.180000,34.831432,50888600
2023-11-16,35.980000,36.490002,35.500000,35.549999,34.224915,72361200
2023-11-17,35.830002,36.919998,35.820000,36.709999,35.341675,87666300
2023-11-20,36.770000,37.220001,36.270000,36.740002,35.370560,67796900
2023-11-21,36.540001,36.540001,35.910000,36.360001,35.004723,49597800
2023-11-22,34.900002,35.160000,34.250000,35.160000,35.160000,58578300
2023-11-23,35.130001,35.250000,34.810001,35.169998,35.169998,24068100
2023-11-24,34.980000,35.820000,34.709999,35.270000,35.270000,53456200
2023-11-27,35.000000,35.400002,34.750000,35.070000,35.070000,36996000
2023-11-28,35.169998,35.619999,35.150002,35.599998,35.599998,36875900
2023-11-29,35.900002,36.029999,34.939999,35.230000,35.230000,37528600
2023-11-30,35.459999,35.919998,35.240002,35.910000,35.910000,58808800
2023-12-01,35.720001,36.000000,35.529999,35.669998,35.669998,36388100
2023-12-04,35.439999,35.549999,34.849998,34.910000,34.910000,35601900
2023-12-05,34.919998,35.169998,34.680000,34.750000,34.750000,43234200
2023-12-06,34.549999,34.799999,33.500000,33.500000,33.500000,64179200
2023-12-07,33.650002,34.180000,33.040001,33.419998,33.419998,64723900
